2026-02-25 21:05:23,765 | INFO | root | Logging initialized successfully
2026-02-25 21:05:23,765 | INFO | root | Starting Trading Bot CLI
2026-02-25 21:05:23,765 | INFO | root | User Input: Namespace(symbol='BTCUSDT', side='BUY', type='MARKET', quantity=0.001, price=None)
2026-02-25 21:05:24,498 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 21:07:15,005 | INFO | root | Logging initialized successfully
2026-02-25 21:07:15,005 | INFO | root | Starting Trading Bot CLI
2026-02-25 21:07:16,088 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 21:07:16,090 | INFO | root | Placing MARKET order: BTCUSDT BUY 0.001
2026-02-25 21:07:16,831 | ERROR | root | Market Order Error: APIError(code=-2014): API-key format invalid.
2026-02-25 21:07:16,831 | ERROR | root | CLI Error: APIError(code=-2014): API-key format invalid.
2026-02-25 22:27:35,828 | INFO | root | Logging initialized successfully
2026-02-25 22:27:35,828 | INFO | root | Starting Trading Bot CLI
2026-02-25 22:27:36,250 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:27:36,252 | INFO | root | Placing MARKET order: BTCUSDT BUY 0.001
2026-02-25 22:27:37,034 | ERROR | root | Market Order Error: APIError(code=-4164): Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-02-25 22:27:37,034 | ERROR | root | CLI Error: APIError(code=-4164): Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-02-25 22:28:26,988 | INFO | root | Logging initialized successfully
2026-02-25 22:28:26,988 | INFO | root | Starting Trading Bot CLI
2026-02-25 22:28:27,317 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:28:27,317 | INFO | root | Placing MARKET order: BTCUSDT BUY 0.002
2026-02-25 22:28:27,771 | INFO | root | Market Order Response: {'orderId': 12547005649, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ21d2a4d0d99da3648ca5d3', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1772038712366}
2026-02-25 22:41:55,465 | INFO | root | Logging initialized successfully
2026-02-25 22:42:22,402 | INFO | root | Logging initialized successfully
2026-02-25 22:42:27,775 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:42:34,748 | INFO | root | Placing MARKET order: BTCUSDT BUY 0.0
2026-02-25 22:42:35,647 | ERROR | root | Market Order Error: APIError(code=-4003): Quantity less than or equal to zero.
2026-02-25 22:44:18,042 | INFO | root | Logging initialized successfully
2026-02-25 22:47:58,003 | INFO | root | Logging initialized successfully
2026-02-25 22:48:10,147 | INFO | root | Logging initialized successfully
2026-02-25 22:48:11,183 | INFO | root | Logging initialized successfully
2026-02-25 22:48:17,835 | INFO | root | Logging initialized successfully
2026-02-25 22:48:21,248 | INFO | root | Logging initialized successfully
2026-02-25 22:50:09,115 | INFO | root | Logging initialized successfully
2026-02-25 22:50:25,508 | INFO | root | Logging initialized successfully
2026-02-25 22:50:59,559 | INFO | root | Logging initialized successfully
2026-02-25 22:51:40,977 | INFO | root | Logging initialized successfully
2026-02-25 22:51:41,169 | INFO | root | Logging initialized successfully
2026-02-25 22:51:42,983 | INFO | root | Logging initialized successfully
2026-02-25 22:51:43,668 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:51:43,668 | INFO | root | Placing MARKET order: BTCUSDT BUY 0.02
2026-02-25 22:51:44,216 | INFO | root | Market Order Response: {'orderId': 12547174108, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJcb36065e2830c15e854248', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.020', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1772040108851}
2026-02-25 22:53:56,592 | INFO | root | Logging initialized successfully
2026-02-25 22:53:57,784 | INFO | root | Binance Testnet Client initialized successfully
2026-02-25 22:53:57,784 | INFO | root | Placing MARKET order: BTCUSDT BUY 0.02
2026-02-25 22:53:59,526 | INFO | root | Logging initialized successfully
